Removed Member From Class: ClassName=Palletto_Main_Schematic Member=J1_16_Female Pin headers
Change Component Footprint: Designator=J2_16_Female Pin headers Old Footprint=62201621821 New Footprint=FP-SQW-108-01-L-D-MFG
Change Component Comment : Designator=J1 Old Comment=SQW-108-01-L-D New Comment=16_Female Pin headers
Change Component Designator: OldDesignator=J1 NewDesignator=J1_16_Female Pin headers
Change Managed Component Library Link : Designator=J2_16_Female Pin headers Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=54702405-0110-4DBA-B657-C8617C5E9CF6 New ItemGUID=5A845743-A4DD-43AD-B7A8-D24988D8E892 Old RevisionGUID=2AD3BACE-E9BF-47A7-A91B-AD3F73CB8861 New RevisionGUID=2AE9AE0F-649D-49B6-9158-854BE3755321
Change component parameters: Designator = "J2_16_Female Pin headers" ("J2_16_Female Pin headers"); Footprint = "62201621821"; UniqueID = "\LTWRJDMP" ("\LTWRJDMP")
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Receptacle, Socket"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze, Gold, Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "10mO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "3.8A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Receptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "6.477mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Polymer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "16.12mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Production"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Lifecycle Status"; Value = "PRODUCTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (AC)"; Value = "500V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "297863"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row Spacing"; Value = "2.0066mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (AC)"; Value = "500V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "4mm"; VariantName = "[No Variations]"
